KG-NR;GST-NR;G;BA;NU;TIND;IND;FLAECHE;EMZ;GFN;GFT;KG-EZ;EZ #01.04.2023#
"42018";".120/2";"";1;"01";"";"*";105;;"10288/2012/42";"GFT20";"42018";383
"42018";".121";"";1;"01";"";"";149;;"10288/2012/42";"GFT20";"42018";268
"42018";".122/2";"";2;"01";"";"";29;;"493/2022/42";"GFT20";"42018";383
"42018";".122/3";"";1;"01";"";"";29;;"10288/2012/42";"GFT20";"42018";383
"42018";".123";"";1;"01";"";"";36;;"10288/2012/42";"GFT20";"42018";449
"42018";".124";"";2;"01";"";"";61;7;"493/2022/42";"GFT20";"42018";449
"42018";".145/1";"G";1;"01";"";"*";139;;"10288/2012/42";"GFT20";"42018";78
"42018";".147";"";1;"01";"T";"";32;;"285/2014/42";"GFT20";"42018";76
"42018";".147";"";2;"01";"T";"";68;;"285/2014/42";"GFT20";"42018";76
"42018";".148/1";"";1;"01";"";"*";119;;"285/2014/42";"GFT20";"42018";76
"42018";".148/2";"";1;"01";"";"";34;;"10288/2012/42";"GFT20";"42018";76
"42018";".149";"";1;"01";"";"*";88;;"285/2014/42";"GFT20";"42018";74
"42018";".150";"";1;"01";"";"";73;;"10288/2012/42";"GFT20";"42018";99
"42018";".151/1";"";1;"01";"";"*";84;;"10288/2012/42";"GFT20";"42018";700
"42018";".151/2";"";1;"01";"";"*";20;;"10288/2012/42";"GFT20";"42018";700
"42018";".153";"";2;"01";"";"*";30;10;"493/2022/42";"GFT20";"42018";983
"42018";".154";"";1;"01";"";"*";21;;"285/2014/42";"GFT20";"42018";74
"42018";".155";"";1;"01";"";"*";104;;"285/2014/42";"GFT20";"42018";74
"42018";".158";"";1;"01";"";"*";99;;"10288/2012/42";"GFT20";"42018";72
"42018";".159";"";1;"01";"";"*";199;;"10288/2012/42";"GFT20";"42018";71
"42018";".160";"";1;"01";"";"*";162;;"10288/2012/42";"GFT20";"42018";71
"42018";".161/1";"";1;"01";"";"*";141;;"10288/2012/42";"GFT20";"42018";67
"42018";".161/2";"";1;"01";"";"";118;;"10288/2012/42";"GFT20";"42018";67
"42018";".163";"G";1;"01";"T";"*";95;;"10288/2012/42";"GFT20";"42018";60
"42018";".163";"G";3;"01";"T";"*";152;;"10288/2012/42";"GFT20";"42018";60
"42018";".165";"";1;"01";"";"*";140;;"10288/2012/42";"GFT20";"42018";69
"42018";".166/2";"";1;"01";"";"*";140;;"10288/2012/42";"GFT20";"42018";69
"42018";".167/1";"";1;"01";"";"*";104;;"10288/2012/42";"GFT20";"42018";60
"42018";".167/2";"";1;"01";"";"*";109;;"10288/2012/42";"GFT20";"42018";60
"42018";".168/1";"";1;"01";"";"*";28;;"10288/2012/42";"GFT20";"42018";60
"42018";".173";"";1;"01";"";"*";258;;"10288/2012/42";"GFT20";"42018";50
"42018";".174";"";1;"01";"";"*";107;;"10288/2012/42";"GFT20";"42018";50
"42018";".175/1";"";1;"01";"";"*";118;;"10288/2012/42";"GFT20";"42018";48
"42018";".175/2";"";1;"01";"";"*";78;;"10288/2012/42";"GFT20";"42018";48
"42018";".177/1";"";1;"01";"";"";90;;"10288/2012/42";"GFT20";"42018";80
"42018";".177/2";"";1;"01";"";"";68;;"10288/2012/42";"GFT20";"42018";80
"42018";".178";"";1;"01";"";"*";45;;"10288/2012/42";"GFT20";"42018";752
"42018";".179";"";1;"01";"";"";99;;"10288/2012/42";"GFT20";"42018";45
"42018";".180/1";"";1;"01";"";"";28;;"10288/2012/42";"GFT20";"42018";45
"42018";".180/2";"";1;"01";"";"*";129;;"10288/2012/42";"GFT20";"42018";45
"42018";".181";"";1;"01";"";"";100;;"10288/2012/42";"GFT20";"42018";71
"42018";".183/1";"";1;"01";"";"*";52;;"10288/2012/42";"GFT20";"42018";644
"42018";".184";"";1;"01";"";"";52;;"10288/2012/42";"GFT20";"42018";748
"42018";".185";"";1;"01";"";"*";158;;"10288/2012/42";"GFT20";"42018";748
"42018";".186/2";"";1;"01";"";"*";49;;"10288/2012/42";"GFT20";"42018";34
"42018";".187/1";"G";1;"01";"T";"*";58;;"10288/2012/42";"GFT20";"42018";32
"42018";".187/1";"G";3;"01";"T";"*";171;;"10288/2012/42";"GFT20";"42018";32
"42018";".187/2";"";1;"01";"";"*";102;;"10288/2012/42";"GFT20";"42018";29
"42018";".188";"";1;"01";"";"*";87;;"10288/2012/42";"GFT20";"42018";29
"42018";".189/2";"";1;"01";"";"*";121;;"10288/2012/42";"GFT20";"42018";25
"42018";".192";"";1;"01";"";"*";173;;"10288/2012/42";"GFT20";"42018";14
"42018";".193";"";1;"01";"";"";100;;"10288/2012/42";"GFT20";"42018";5
"42018";".195";"";1;"01";"";"";134;;"10288/2012/42";"GFT20";"42018";5
"42018";".196";"";1;"01";"";"";225;;"285/2014/42";"GFT20";"42018";85
"42018";".197";"";1;"01";"";"";161;;"10288/2012/42";"GFT20";"42018";85
"42018";".199/2";"G";1;"01";"T";"*";38;;"10288/2012/42";"GFT20";"42018";2
"42018";".199/2";"G";3;"01";"T";"*";136;;"10288/2012/42";"GFT20";"42018";2
"42018";".200";"";1;"01";"T";"";39;;"1131/2016/42";"GFT20";"42018";1
"42018";".200";"";2;"01";"T";"";158;46;"1131/2016/42";"GFT20";"42018";1
"42018";".201";"";1;"01";"";"*";137;;"10288/2012/42";"GFT20";"42018";82
"42018";".202";"G";3;"01";"";"*";92;;"10288/2012/42";"GFT20";"42018";10
"42018";".203";"";1;"01";"";"*";81;;"10288/2012/42";"GFT20";"42018";10
"42018";".204";"";1;"01";"";"";101;;"10288/2012/42";"GFT20";"42018";3
"42018";".205";"";1;"01";"";"";38;;"10288/2012/42";"GFT20";"42018";3
"42018";".206";"";1;"01";"T";"";145;;"10288/2012/42";"GFT20";"42018";6
"42018";".206";"";1;"02";"T";"";8;;"10288/2012/42";"GFT20";"42018";6
"42018";".207";"";1;"01";"";"*";95;;"10288/2012/42";"GFT20";"42018";6
"42018";".208/1";"";1;"01";"";"";240;;"10288/2012/42";"GFT20";"42018";7
"42018";".208/2";"";1;"01";"";"*";7;;"10288/2012/42";"GFT20";"42018";7
"42018";".209";"";1;"01";"";"*";92;;"10288/2012/42";"GFT20";"42018";7
"42018";".210/1";"";1;"01";"";"*";180;;"10288/2012/42";"GFT20";"42018";12
"42018";".210/2";"";1;"01";"";"*";26;;"10288/2012/42";"GFT20";"42018";12
"42018";".211";"";1;"01";"";"*";114;;"10288/2012/42";"GFT20";"42018";777
"42018";".212/1";"";1;"01";"";"*";112;;"10288/2012/42";"GFT20";"42018";13
"42018";".212/2";"";1;"01";"";"*";25;;"10288/2012/42";"GFT20";"42018";13
"42018";".212/3";"G";1;"01";"T";"*";29;;"10288/2012/42";"GFT20";"42018";777
"42018";".212/3";"G";3;"01";"T";"*";46;;"10288/2012/42";"GFT20";"42018";777
"42018";".213/2";"";2;"01";"";"*";96;;"1131/2016/42";"GFT20";"42018";18
"42018";".213/3";"G";1;"01";"";"*";66;;"10288/2012/42";"GFT20";"42018";22
